cidade,data,precipitacao,temperatura,umidade,vento,ano,bairro
ALEGRETE,2014-01-01,0.0,31.0,66.16666666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-01-02,0.0,,76.5,,2014,ALEGRETE
ALEGRETE,2014-01-03,0.0,21.0,72.5,2.0,2014,ALEGRETE
ALEGRETE,2014-01-04,0.0,20.75,59.291666666666664,1.0,2014,ALEGRETE
ALEGRETE,2014-01-05,0.0,32.0,50.708333333333336,2.0,2014,ALEGRETE
ALEGRETE,2014-01-06,0.0,35.0,56.416666666666664,1.5,2014,ALEGRETE
ALEGRETE,2014-01-07,0.0,27.25,60.708333333333336,2.6666666666666665,2014,ALEGRETE
ALEGRETE,2014-01-08,4.0,22.666666666666668,76.08333333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-01-09,0.0,,68.79166666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-01-10,0.0,26.0,74.875,1.8333333333333333,2014,ALEGRETE
ALEGRETE,2014-01-11,0.0,20.0,84.91666666666667,1.75,2014,ALEGRETE
ALEGRETE,2014-01-12,0.0,22.6,78.375,4.0,2014,ALEGRETE
ALEGRETE,2014-01-13,0.0,23.0,75.5,3.0,2014,ALEGRETE
ALEGRETE,2014-01-14,0.0,23.0,86.58333333333333,1.3333333333333333,2014,ALEGRETE
ALEGRETE,2014-01-15,0.0,27.0,78.5,1.6666666666666667,2014,ALEGRETE
ALEGRETE,2014-01-16,0.0,31.0,73.16666666666667,1.6666666666666667,2014,ALEGRETE
ALEGRETE,2014-01-17,0.0,27.5,67.04166666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-01-18,0.0,29.0,61.791666666666664,1.0,2014,ALEGRETE
ALEGRETE,2014-01-19,0.0,34.0,60.666666666666664,1.0,2014,ALEGRETE
ALEGRETE,2014-01-20,0.0,28.625,63.708333333333336,2.0,2014,ALEGRETE
ALEGRETE,2014-01-21,0.0,35.0,60.875,1.5,2014,ALEGRETE
ALEGRETE,2014-01-22,0.0,31.666666666666668,61.875,2.5,2014,ALEGRETE
ALEGRETE,2014-01-23,0.0,32.5,60.041666666666664,2.3333333333333335,2014,ALEGRETE
ALEGRETE,2014-01-24,0.0,,72.875,2.5,2014,ALEGRETE
ALEGRETE,2014-01-25,0.0,20.0,70.83333333333333,4.5,2014,ALEGRETE
ALEGRETE,2014-01-26,0.0,20.0,82.08333333333333,3.3333333333333335,2014,ALEGRETE
ALEGRETE,2014-01-27,0.0,25.0,81.91666666666667,1.5,2014,ALEGRETE
ALEGRETE,2014-01-28,0.0,29.0,68.95833333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-01-29,1.0,24.0,79.95833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-01-30,5.0,28.0,78.45833333333333,1.5,2014,ALEGRETE
ALEGRETE,2014-01-31,0.0,,84.45833333333333,1.6,2014,ALEGRETE
ALEGRETE,2014-02-01,1.0,26.666666666666668,70.875,2.5,2014,ALEGRETE
ALEGRETE,2014-02-02,0.0,29.666666666666668,71.5,2.0,2014,ALEGRETE
ALEGRETE,2014-02-03,0.0,25.5,64.29166666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-02-04,0.0,27.666666666666668,70.16666666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-02-05,0.0,29.0,64.625,1.3333333333333333,2014,ALEGRETE
ALEGRETE,2014-02-06,0.0,31.0,57.416666666666664,,2014,ALEGRETE
ALEGRETE,2014-02-07,0.0,31.0,57.75,2.0,2014,ALEGRETE
ALEGRETE,2014-02-08,0.0,32.0,57.916666666666664,,2014,ALEGRETE
ALEGRETE,2014-02-09,0.0,31.333333333333332,66.95833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-02-10,0.0,24.0,68.375,1.0,2014,ALEGRETE
ALEGRETE,2014-02-11,0.0,32.5,62.666666666666664,2.6666666666666665,2014,ALEGRETE
ALEGRETE,2014-02-12,0.0,26.333333333333332,75.0,2.0,2014,ALEGRETE
ALEGRETE,2014-02-13,4.0,23.666666666666668,89.5,2.0,2014,ALEGRETE
ALEGRETE,2014-02-14,1.0,19.0,73.75,6.0,2014,ALEGRETE
ALEGRETE,2014-02-15,0.0,17.5,65.08333333333333,4.666666666666667,2014,ALEGRETE
ALEGRETE,2014-02-16,0.0,17.0,66.33333333333333,4.333333333333333,2014,ALEGRETE
ALEGRETE,2014-02-17,0.0,21.0,66.91666666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-02-18,0.0,20.0,64.91666666666667,2.5,2014,ALEGRETE
ALEGRETE,2014-02-19,0.0,24.8,67.625,3.5,2014,ALEGRETE
