Unidade de Medida,valor,cod_municipio,ano,variavel,produto
Hectares,1500.0,4300034,2010,Área plantada,Milho
Hectares,2100.0,4300034,2010,Área plantada,Soja
Hectares,700.0,4300034,2010,Área plantada,Trigo
Hectares,1500.0,4300034,2010,Área colhida,Milho
Hectares,2100.0,4300034,2010,Área colhida,Soja
Hectares,700.0,4300034,2010,Área colhida,Trigo
Toneladas,2070.0,4300034,2010,Quantidade produzida,Milho
Toneladas,3675.0,4300034,2010,Quantidade produzida,Soja
Toneladas,1470.0,4300034,2010,Quantidade produzida,Trigo
Quilogramas por Hectare,1380.0,4300034,2010,Rendimento médio da produção,Milho
Quilogramas por Hectare,1750.0,4300034,2010,Rendimento médio da produção,Soja
Quilogramas por Hectare,2100.0,4300034,2010,Rendimento médio da produção,Trigo
Mil Reais,789.0,4300034,2010,Valor da produção,Milho
Mil Reais,2235.0,4300034,2010,Valor da produção,Soja
Mil Reais,563.0,4300034,2010,Valor da produção,Trigo
Hectares,3000.0,4300034,2011,Área plantada,Milho
Hectares,5000.0,4300034,2011,Área plantada,Soja
Hectares,700.0,4300034,2011,Área plantada,Trigo
Hectares,3000.0,4300034,2011,Área colhida,Milho
Hectares,5000.0,4300034,2011,Área colhida,Soja
Hectares,700.0,4300034,2011,Área colhida,Trigo
Toneladas,3600.0,4300034,2011,Quantidade produzida,Milho
Toneladas,12000.0,4300034,2011,Quantidade produzida,Soja
Toneladas,1470.0,4300034,2011,Quantidade produzida,Trigo
Quilogramas por Hectare,1200.0,4300034,2011,Rendimento médio da produção,Milho
Quilogramas por Hectare,2400.0,4300034,2011,Rendimento médio da produção,Soja
Quilogramas por Hectare,2100.0,4300034,2011,Rendimento médio da produção,Trigo
Mil Reais,1616.0,4300034,2011,Valor da produção,Milho
Mil Reais,8650.0,4300034,2011,Valor da produção,Soja
Mil Reais,598.0,4300034,2011,Valor da produção,Trigo
Hectares,3000.0,4300034,2012,Área plantada,Milho
Hectares,8000.0,4300034,2012,Área plantada,Soja
Hectares,600.0,4300034,2012,Área plantada,Trigo
Hectares,2000.0,4300034,2012,Área colhida,Milho
Hectares,5600.0,4300034,2012,Área colhida,Soja
Hectares,600.0,4300034,2012,Área colhida,Trigo
Toneladas,4200.0,4300034,2012,Quantidade produzida,Milho
Toneladas,8176.0,4300034,2012,Quantidade produzida,Soja
Toneladas,1260.0,4300034,2012,Quantidade produzida,Trigo
Quilogramas por Hectare,2100.0,4300034,2012,Rendimento médio da produção,Milho
Quilogramas por Hectare,1460.0,4300034,2012,Rendimento médio da produção,Soja
Quilogramas por Hectare,2100.0,4300034,2012,Rendimento médio da produção,Trigo
Mil Reais,1895.0,4300034,2012,Valor da produção,Milho
