uf,nome_uf,regiao_intermediaria,nome_regiao_intermediaria,regiao_imediata,nome_regiao_imediata,codigo_municipio,nome_municipio,uf_sigla
43,Rio Grande do Sul,4302,Pelotas,430010,Bagé,34,ACEGUÁ,RS
43,Rio Grande do Sul,4306,Passo Fundo,430032,Tapejara - Sananduva,59,ÁGUA SANTA,RS
43,Rio Grande do Sul,4303,Santa Maria,430011,Santa Maria,109,AGUDO,RS
43,Rio Grande do Sul,4305,Ijuí,430018,Ijuí,208,AJURICABA,RS
43,Rio Grande do Sul,4305,Ijuí,430019,Santa Rosa,307,ALECRIM,RS
43,Rio Grande do Sul,4304,Uruguaiana,430015,Uruguaiana,406,ALEGRETE,RS
43,Rio Grande do Sul,4305,Ijuí,430023,Três de Maio,455,ALEGRIA,RS
43,Rio Grande do Sul,4306,Passo Fundo,430028,Carazinho,471,ALMIRANTE TAMANDARÉ DO SUL,RS
43,Rio Grande do Sul,4306,Passo Fundo,430035,Nonoai,505,ALPESTRE,RS
43,Rio Grande do Sul,4306,Passo Fundo,430025,Passo Fundo,554,ALTO ALEGRE,RS
43,Rio Grande do Sul,4307,Caxias do Sul,430036,Caxias do Sul,570,ALTO FELIZ,RS
43,Rio Grande do Sul,4301,Porto Alegre,430001,Porto Alegre,604,ALVORADA,RS
43,Rio Grande do Sul,4301,Porto Alegre,430005,Camaquã,638,AMARAL FERRADOR,RS
43,Rio Grande do Sul,4306,Passo Fundo,430029,Frederico Westphalen,646,AMETISTA DO SUL,RS
43,Rio Grande do Sul,4307,Caxias do Sul,430038,Nova Prata - Guaporé,661,ANDRÉ DA ROCHA,RS
43,Rio Grande do Sul,4308,Santa Cruz do Sul - Lajeado,430043,Encantado,703,ANTA GORDA,RS
43,Rio Grande do Sul,4307,Caxias do Sul,430036,Caxias do Sul,802,ANTÔNIO PRADO,RS
43,Rio Grande do Sul,4301,Porto Alegre,430005,Camaquã,851,ARAMBARÉ,RS
43,Rio Grande do Sul,4301,Porto Alegre,430002,Novo Hamburgo - São Leopoldo,877,ARARICÁ,RS
